"Product ID","Image URLs (x,y,z...)","SKU Prveedor Web"
1843,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLG1.jpg,MYSCLG1
1843,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLG1.1.jpg,MYSCLG1.1
1843,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLG1.2.jpg,MYSCLG1.2
1843,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLG1.3.jpg,MYSCLG1.3
1844,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLL1.jpg,MYSCLL1
1845,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLF1.jpg,MYSCLF1
1846,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLR1.jpg,MYSCLR1
1846,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLR1.1.jpg,MYSCLR1.1
1847,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLG2.jpg,MYSCLG2
1847,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLG2.1.jpg,MYSCLG2.1
1848,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLL2.jpg,MYSCLL2
1848,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLL2.1.jpg,MYSCLL2.1
1848,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLL2.2.jpg,MYSCLL2.2
1849,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLW1.jpg,MYSCLW1
1849,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLW1.1.jpg,MYSCLW1.1
1849,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSCLW1.2.jpg,MYSCLW1.2
1850,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSRC1.jpg,MYSRC1
1851,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSRT1.jpg,MYSRT1
1852,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSRS1.jpg,MYSRS1
1853,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSRP1.jpg,MYSRP1
1853,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSRP1.1.jpg,MYSRP1.1
1854,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSRK1.jpg,MYSRK1
1855,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSRD1.jpg,MYSRD1
1856,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSRV1.jpg,MYSRV1
1857,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSRS2.jpg,MYSRS2
1858,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSSP1.jpg,MYSSP1
1859,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSSF1.jpg,MYSSF1
1860,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSSB1.jpg,MYSSB1
1861,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSST1.jpg,MYSST1
1862,http://www.hogaryspacios.com/upload/imagen_mueble_estilo/MYSSZ1.jpg,MYSSZ1
